ano,id_municipio,distritos_sp,bairros_sp,total_empregos
2021,3550308,49,799,0
2021,3550308,11,1584,39
2021,3550308,38,1732,190
2021,3550308,84,1317,10
2021,3550308,78,523,0
2021,3550308,67,829,0
2021,3550308,16,883,83
2021,3550308,21,206,306
2021,3550308,49,1350,65
2021,3550308,58,300,0
2021,3550308,45,1452,54
2021,3550308,78,1828,4
2021,3550308,84,,318
2021,3550308,28,1872,50
2021,3550308,29,369,71
2021,3550308,12,44,92
2021,3550308,22,547,4
2021,3550308,65,215,43
2021,3550308,14,,4826
2021,3550308,22,569,26
2021,3550308,18,290,543
2021,3550308,73,1636,8
2021,3550308,80,64,1509
2021,3550308,76,581,12
2021,3550308,54,1560,19
2021,3550308,8,5,87
2021,3550308,72,296,117
2021,3550308,15,1373,109
2021,3550308,82,1080,34
2021,3550308,73,1795,6
2021,3550308,41,110,222
2021,3550308,63,630,8
2021,3550308,34,339,39
2021,3550308,81,1745,1
2021,3550308,42,753,81
2021,3550308,3,1138,52
2021,3550308,41,603,20
2021,3550308,29,658,122
2021,3550308,65,366,23
2021,3550308,19,521,6
2021,3550308,76,560,33
2021,3550308,88,1671,276
2021,3550308,86,371,60
2021,3550308,81,247,248
2021,3550308,29,1165,158
2021,3550308,70,1783,13
2021,3550308,78,181,75
2021,3550308,73,1696,1
2021,3550308,18,317,44
2021,3550308,40,335,79
2021,3550308,83,262,33
2021,3550308,78,1870,122
2021,3550308,45,370,18
2021,3550308,95,1150,32
2021,3550308,64,1397,88
2021,3550308,24,1873,111
2021,3550308,77,1058,42
2021,3550308,,1079,1
2021,3550308,78,1599,17
2021,3550308,34,956,18
2021,3550308,42,70,126
2021,3550308,51,1513,69
2021,3550308,53,1076,126
2021,3550308,37,1676,115
2021,3550308,60,2,0
2021,3550308,81,519,66
2021,3550308,22,1788,16
2021,3550308,73,80,17
2021,3550308,57,939,160
2021,3550308,85,1753,32
2021,3550308,29,1659,89
2021,3550308,32,1214,0
2021,3550308,21,1435,2
2021,3550308,63,800,25
2021,3550308,88,1804,33
2021,3550308,18,395,92
2021,3550308,83,1303,16
2021,3550308,28,683,159
2021,3550308,34,470,16
2021,3550308,30,1749,23
2021,3550308,67,1337,198
2021,3550308,72,1150,20
2021,3550308,17,1381,0
2021,3550308,53,30,555
2021,3550308,16,1673,28
2021,3550308,78,863,0
2021,3550308,50,1292,1
2021,3550308,76,1734,293
2021,3550308,,1673,0
2021,3550308,29,990,32
2021,3550308,76,642,20
2021,3550308,45,314,27
2021,3550308,87,1443,0
2021,3550308,67,1815,61
2021,3550308,90,1236,21
2021,3550308,30,1474,19
2021,3550308,78,700,25
2021,3550308,16,1141,33
2021,3550308,16,623,207
2021,3550308,22,344,118
2021,3550308,29,1039,18
2021,3550308,44,550,0
2021,3550308,40,789,43
2021,3550308,,444,11
2021,3550308,,1562,22
2021,3550308,41,904,56
2021,3550308,74,733,72
2021,3550308,53,960,213
2021,3550308,74,1094,0
2021,3550308,22,1133,61
2021,3550308,3,118,1
2021,3550308,45,567,15
2021,3550308,,897,4
2021,3550308,35,739,1
2021,3550308,71,539,12
2021,3550308,65,644,37
2021,3550308,14,1489,95
2021,3550308,45,1081,24
2021,3550308,53,,1017
2021,3550308,82,921,9
2021,3550308,95,688,16
2021,3550308,26,1552,12
2021,3550308,29,1199,4
2021,3550308,65,332,1
2021,3550308,32,1462,1961
2021,3550308,55,276,21
2021,3550308,84,1425,28
2021,3550308,16,472,0
2021,3550308,26,1830,115
2021,3550308,87,985,6322
2021,3550308,2,1328,0
2021,3550308,82,1483,12
2021,3550308,4,414,15
2021,3550308,,1825,38
2021,3550308,,1843,159
2021,3550308,51,725,34
2021,3550308,38,586,49
2021,3550308,35,1849,3
2021,3550308,,740,0
2021,3550308,33,1264,0
2021,3550308,15,413,9
2021,3550308,30,901,53
2021,3550308,29,266,13
2021,3550308,16,1355,23
2021,3550308,16,805,58
2021,3550308,54,299,14
2021,3550308,,1086,222
2021,3550308,29,1560,0
2021,3550308,35,1274,51
2021,3550308,11,974,12
2021,3550308,34,1698,86
2021,3550308,16,307,0
2021,3550308,96,1753,25
2021,3550308,86,535,34
2021,3550308,61,1565,1
2021,3550308,71,1860,0
2021,3550308,83,1673,2
2021,3550308,22,1255,1
2021,3550308,39,909,27
2021,3550308,18,535,1
2021,3550308,83,1526,25
